Entity,Code,Date,"Excess_mortality_P-scores,_ages_15-64","Excess_mortality_P-scores,_ages_65-74","Excess_mortality_P-scores,_ages_75-84","Excess_mortality_P-scores,_ages_85+"
Croatia,HRV,5/10/2020,-14.36,14.11,-22.93,1.73
Croatia,HRV,5/17/2020,-21.2,3.87,-13.52,16.87
Croatia,HRV,5/24/2020,-14.91,8.8,-10,-0.08
Croatia,HRV,5/31/2020,-19.88,5.23,-18.58,0.37
Croatia,HRV,6/7/2020,-0.52,7.15,-5.13,9.76
Croatia,HRV,6/14/2020,2.92,15.43,-11.61,17.53
Croatia,HRV,6/21/2020,-22.71,11.38,-15.64,13.9
Croatia,HRV,6/28/2020,-4.67,-5.09,-2.03,15.72
Croatia,HRV,7/5/2020,-19.63,12.03,-6.63,18.38
Croatia,HRV,7/12/2020,-9.99,1.91,-12.31,10.04
Croatia,HRV,7/19/2020,-8.51,-4.42,-5.67,-9.99
Croatia,HRV,7/26/2020,-3.39,-1.38,-10.02,11.47
Croatia,HRV,8/2/2020,5.44,11.43,7.01,17.02
Croatia,HRV,8/9/2020,-13.07,11.11,-6.91,9.34
Croatia,HRV,8/16/2020,-14.55,-0.8,-5.4,11.85
Croatia,HRV,8/23/2020,-17.61,18.19,-6.46,12.33
Croatia,HRV,8/30/2020,-4.38,9.32,3.35,15.17
Croatia,HRV,9/6/2020,-14.63,24.69,-2.59,14.59
Croatia,HRV,9/13/2020,-1.88,21.71,5.38,21.49
Croatia,HRV,9/20/2020,-12.92,6.82,-4.88,25.69
Czech Republic,CZE,1/5/2020,-3.33,-2.88,-1.02,-3.47
Czech Republic,CZE,1/12/2020,-7.65,-8.75,4.14,3.36
Czech Republic,CZE,1/19/2020,-17.63,-3.23,-3.34,-4.11
Czech Republic,CZE,1/26/2020,-5.62,-3.1,1.94,-3.75
Czech Republic,CZE,2/2/2020,-10.55,-4.47,-0.74,5.04
Czech Republic,CZE,2/9/2020,-13.76,-1.65,-2.38,-3.51
Czech Republic,CZE,2/16/2020,-18.3,-3.12,-4.12,2
Czech Republic,CZE,2/23/2020,-14.18,-13.96,0.34,-1.38
Czech Republic,CZE,3/1/2020,-10.88,-5.57,-1.61,-3.01
Czech Republic,CZE,3/8/2020,-6.23,-1.85,-9.5,-2.14
Czech Republic,CZE,3/15/2020,-12.1,3.33,0.82,-0.14
Czech Republic,CZE,3/22/2020,-4.87,4,1.83,6.35
Czech Republic,CZE,3/29/2020,0.91,2.95,8.76,2.94
Czech Republic,CZE,4/5/2020,-8.17,15.8,15.38,2.78
Czech Republic,CZE,4/12/2020,-4.03,1.93,12.14,8.86
Czech Republic,CZE,4/19/2020,2.25,0.46,8.92,0.07
Czech Republic,CZE,4/26/2020,-9.38,-6.15,-3.21,0.64
Czech Republic,CZE,5/3/2020,-8.2,10.41,9.29,1.01
Czech Republic,CZE,5/10/2020,-11.98,-1.67,2.21,2.17
Czech Republic,CZE,5/17/2020,3.75,7.26,-3.46,4.08
